attacker,defender,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21
Alex,CharlieNash,-1.2809900019426452,0.12762515957684412,0.1016353753935688,0.15714549053279583,0.47132196891538913,0.18452993922453104,0.15781983775227465,0.26430496104933,0.2383334885078792,0.04170959403423319,0.06754624699963363,0.12210216909256942,0.08498413499222338,0.08115446333026405,0.049913812013229905,0.22926144162311837,,,,,,
Alex,Chun-Li,0.06319526974212421,0.20681156543518267,0.18797773406763388,0.16178591629031905,0.2300009701264374,0.12927963967266287,0.1421667885378663,0.09167604565290222,-0.1093832834504532,-0.3577868559271127,-0.0599488273362243,-0.10105706748799155,-0.07837506264357533,-0.1398285075685166,-0.06545047083258193,-0.0493680436020074,-0.0676112380587496,-0.1322578154945926,-0.07973165062430451,-0.12566101675453176,-0.11057370544127257,
Alex,Dan,-0.7287764035699448,0.14434286661958248,0.09780439881953239,0.17692704814141363,0.4301393316501853,0.2501779861200882,0.20086901343436417,0.23003621269878527,-0.2706374354825923,-0.21420479210655685,-0.09329798640846017,-0.1701190214195183,-0.12947350966341237,-0.026823827061536035,-0.17434492350204045,-0.14846688727028573,,,,,,
Alex,Guile,-0.8497149782213973,0.13329904435387202,0.11075020558788523,0.16533877226802485,0.3865622248782842,0.18511408507606208,0.16548893902195966,0.1767514843266163,-0.02970267265762425,-0.07258114313368276,-0.022382158261750114,-0.0436255556930634,-0.020836810690388643,-0.05574753183837251,-0.030238344286214906,-0.0611294584221288,,,,,,
Alex,MBison,-0.30350883332002343,0.25927298143630906,0.093716711145684,0.11939454113003217,0.5732017681014174,0.17759029079551508,0.16117701974666793,0.14178976952510763,-0.4474460259353308,-0.0014699942850334227,-0.000889144238841762,-0.014136246456196795,-0.009940928073498598,-0.007584519513955607,-0.13885102762208346,,,,,,,
Alex,Ryu,-0.48446033009964085,0.2027402877404713,0.08429898729419569,0.10646477782752337,0.6322843034559966,0.26803605894397,0.21427506322917994,0.17148626274376993,-0.10270479487234122,-0.12857130728443888,-0.15486567845116145,-0.18261017491949275,-0.10244945994473986,-0.23053961191178168,,,,,,,,
CharlieNash,Chun-Li,0.8286941709474414,-0.20326592914240715,-0.0457693050913813,-0.049673679476895986,-0.11618743422757077,-0.09161198088260936,-0.06343674691458474,-0.09182229021680392,-0.15877785365010433,-0.09741201778855407,-0.20706770178532402,-0.05653887775148648,-0.07329138594767245,-0.04231649727957832,-0.11307592575625759,-0.1462683192195987,-0.022781622184993498,-0.09360989001774779,-0.12403620533222698,-0.03571879719414539,-0.09887038088344516,-0.06155962064342088
CharlieNash,Dan,1.1808692245716532,-0.20870485726393456,-0.051916934044595214,-0.05265360085250092,-0.14969910289900717,-0.08153867448878092,-0.06016897033001385,-0.1418760061234451,-0.14589439934115342,-0.39251514596387804,-0.16223550795685548,-0.08884593277878447,-0.191495843948806,-0.14055149976983294,-0.07417033109710025,-0.15725639737962072,-0.4253856425582977,,,,,
CharlieNash,Guile,0.6485507937777908,-0.21315505891019143,-0.055342271820391115,-0.058876048813793505,-0.1601696348040076,-0.09697467448185772,-0.08154490315914231,-0.13355783158903844,-0.2090567741964618,-0.04844237054119167,-0.09039755675070447,-0.0482645122772465,-0.02655094732876842,-0.02546037070870394,-0.03661830039123286,-0.06706521501416907,-0.07718492210004607,,,,,
CharlieNash,MBison,1.046334966790862,-0.313933265784047,-0.07089733002005061,-0.07223700810278577,-0.17462149230336427,-0.1063927766358008,-0.05871927652070859,-0.07331310292609013,-0.21263163136446528,-0.42674242050876837,-0.0010142462554880802,-0.008930498409049041,-0.008381968904444606,-0.015285365882612548,-0.005922416286968244,-0.3268195926240897,,,,,,
CharlieNash,Ryu,1.327542452132021,-0.21039847608731074,-0.0523674580036394,-0.040117625654490924,-0.17405031455843362,-0.08907146344787104,-0.053250741193961,-0.15484988197343091,-0.16449330879396518,-0.16417486743107035,-0.19807557024924516,-0.15999092681461835,-0.16716598784866218,-0.1452171081700419,-0.12794176538993868,,,,,,,
Chun-Li,Dan,0.2891506496467448,0.09218941257240654,0.17963076151710433,0.05086409663047073,0.08983470943150479,0.03943663987258626,0.10534484630188687,0.1422410950867502,0.023874760729434792,0.07055896330892508,0.11245627429716346,0.025707315391810683,0.09292088804107818,0.04842548233213845,-0.3661519693301104,-0.19152124032254514,-0.09245673786323803,-0.16386252551112876,-0.10911119654587899,-0.048394211284744505,-0.14621328804660072,-0.14965889103997626
Chun-Li,Guile,-0.30285389365391063,0.10048251275342354,0.18297701383826903,0.05536474821528237,0.07861190426018974,0.038547361948741435,0.1016451923885042,0.12158820825595422,0.026043022938175897,0.07763768795119587,0.10906086539728677,0.031229337860871217,0.09759451243572353,0.05752910672489564,-0.04281859925596769,-0.06645985245351219,-0.03234983282503072,-0.03380104550557581,-0.0054357231491076715,-0.04430789669608245,-0.04692524706746656,-0.05416365598226951
Chun-Li,MBison,-0.5768177309548324,0.10549033781448586,0.44117423903243536,0.0634301498953669,0.0880200717879175,0.05394424097399488,0.15382170123304267,0.10640308041034074,0.030647988097439932,0.08876127584140794,0.1597016040101989,0.039662593407739456,0.13892077316263465,0.06764566753521623,-0.41964060204893383,-0.0009316458590719673,0.001954617738046678,-0.015426928011037086,-0.001355125276189001,-0.004427453408420458,0.15727695977657816,
Chun-Li,Ryu,0.04264314934097531,0.09629132140125338,0.33884424924827855,0.03173748631917434,0.06292721259512857,0.04038653291953821,0.11912002483528691,0.11544455625301339,0.02095690356785757,0.07999921115754575,0.1878058828546058,0.037816987151398126,0.10085621657369245,0.04575293033182086,-0.13058942571912469,-0.13947083243221067,-0.15739698623351006,-0.16240890799882798,-0.07515233571968917,-0.1840995903928637,,
Dan,Guile,-0.1295789767605584,0.31411657887578415,0.1406345161376527,0.07511762554372171,0.15512702947989432,0.12409464373568772,0.047491161414586584,0.1395587312040322,0.4614159987784847,-0.04144552654122502,-0.06688089396231073,-0.030874821151527367,-0.027628460303684103,-0.03651074090392605,-0.03701750126048452,-0.08203689258843858,-0.05530937316994015,,,,,
Dan,MBison,0.4984269542341819,0.41738363255704136,0.2164271889892373,0.1544592456662626,0.18441780574173883,0.12509345257981447,0.0412716960723143,0.18789164674972153,0.05205168651463153,-0.46570150142503197,-0.0017811117275936574,-0.00021932194835967093,-0.015037841890078516,-0.012205143396472377,-0.001985602676030037,-0.061820098897443054,,,,,,
Dan,Ryu,0.16390340592638086,0.4013889254795418,0.20792088840285816,0.0756343332128648,0.14970286825362736,0.09579187009929827,0.1254390232880786,0.1754789171803946,0.15740704616231743,-0.15795882736682682,-0.14366736974922445,-0.16012424596078584,-0.18028987606021002,-0.1499476984695418,-0.15642130888170422,,,,,,,
Guile,MBison,0.6226355591254455,0.06365287810441776,0.11238805900918433,0.04567220008842139,0.038796560644451174,0.027132907043607723,0.04210486262383656,0.03946677992192865,0.05831117748952252,-0.5115237295003923,-0.003401582484884239,0.004106481081063125,-0.009897522256447817,-0.0005357593646502928,-0.0027884458913283415,0.13513439167748337,,,,,,
Guile,Ryu,0.7550922781492119,0.04105558742947821,0.0680108488069533,0.029453493631400575,0.02257843390345682,0.0281501211271376,0.043449046183131154,0.10119562924445813,0.06948537980175389,-0.13814356789213297,-0.2130298039894343,-0.16128314896497822,-0.17382252430985812,-0.12332058864188644,-0.17204898562484355,,,,,,,
MBison,Ryu,0.07155212849597228,0.5320190493750656,0.004223296882143504,0.003995011789956355,0.017265081380664588,0.004343416724797007,-0.0007309382015250783,-0.19361905515044117,-0.18270391085668758,-0.19096572544382934,-0.17648551759271963,-0.21645511670919582,-0.153565430709574,-0.1243212801401221,,,,,,,,
